Author,Affiliation
David Rolnick,"NSF Postdoctoral Fellow, University of Pennsylvania"
Konrad Kording,"University Professor (PIK), bioengineering and neuroscience, UPenn"
Ilai Bistritz,Stanford University
Amir Leshem,Bar-Ilan University
Junbang Liang,"Ph. D. student of Computer Science, University of Maryland, College Park"
Vladlen Koltun,"Chief Scientist for Intelligent Systems, Intel"
Ming Lin,"Elizabeth Stevinson Iribe Chair Professor, University of Maryland at College Park"
Ayush Jain,"Texas A&M University, Indian Institute of Technology Kanpur"
Joseph Lim,Assistant Professor at University of Southern California
Celestine Mendler-Dünner,"University of California, Berkeley"
Aurelien Lucchi,ETH Zurich
Krzysztof Choromanski,Google Brain Robotics New York & Columbia University
Valerii Likhosherstov,"Student, Skoltech"
Achraf Bahamou,"Ph.D Student in IEOR, Columbia University"
Xingyou Song,Google Brain
Jack Parker-Holder,"DPhil Student, University of Oxford"
Jacob Bergquist,"Graduate Student, University of Utah"
YUAN GAO,"PHD student in Electronics Engineering, University of Bristol"
Aldo Pacchiano,UC Berkeley
Tamas Sarlos,Google
Adrian Weller,"Principal Research Fellow, Machine Learning, University of Cambridge"
Vikas Sindhwani,Google Brain
Ankit Goyal,"Mansinhbhai Institute of Dairy and Food Technology, Mehsana"
Jia Deng,Princeton University
Aditya Kusupati,University of Washington
Vivek Ramanujan,Allen Institute for Artificial Intelligence
Raghav Somani,University of Washington
Mitchell Wortsman,University of Washington
Prateek Jain,ADINA Institute of Pharmaceutical Sciences
Sham Kakade,University of Washington
Ali Farhadi,"Associate Professor, Computer Science and Engineering, University of Washington"
Jean-Yves Franceschi,"Sorbonne Université, LIP6"
Edouard Delasalles,"Sorbonne Université, LIP6"
Mickael Chen,"National Chung Cheng University, Taiwan"
Sylvain Lamprier,nan
Patrick Gallinari,Professor Sorbonne University / Criteo AI Lab
Umut Simsekli,"Visiting Faculty @ University of Oxford, Associate Professor @ Télécom ParisTech"
Lingjiong Zhu,Florida State University
Yee Whye Teh,"Professor of Statistical Machine Learning, Oxford, Research Scientist, DeepMind"
Mert Gurbuzbalaban,Rutgers University
Jayadev Acharya,"Assistant Professor, Cornell University"
Peter Kairouz,"Research Scientist, Google"
Daniel  Ramage,Google Research
Ziteng Sun,Ph.D Student at Cornell University
Gautam Kamath,"Assistant Professor, University of Waterloo"
Janardhan Kulkarni,"Microsoft  Research, Redmond"
Steven Wu,Stevens Institute of Technology
Huanyu Zhang,Meituan-Dianping Group
Yiping Lu,Dalian University of Technology
Chao Ma,"Assistant Professor, Shanghai Jiao Tong University"
Yulong Lu,Duke University
Jianfeng Lu,"Department of Mathematics, Department of Chemistry and Department of Physics, Duke …"
Lexing Ying,"Professor of Mathematics, Stanford University"
Amit Dhurandhar,"RSM, IBM"
Karthikeyan Shanmugam,"Research Staff Member, IBM Research"
Ronny Luss,IBM Research
Omer Ben-Porat,"PhD student, Technion Israel Institute of Technology"
Kevin Leyton-Brown,"Professor of Computer Science, University of British Columbia; Canada CIFAR AI Chair …"
Moshe Tennenholtz,nan
Lantao Yu,"Ph.D. Student, Computer Science Department, Stanford University"
Yang Song,"Department of Atmosphere Sciences, Sun Yat-sen University"
Jiaming Song,Stanford University
Stefano Ermon,"PhD Candidate, Cornell University"
Yadan Luo,"PhD candidate, University of Queensland"
Zijian Wang,"Professor of Environmental Science, Chinese Academy of Sciences"
Zi Huang,University of Queensland
Mahsa Baktashmotlagh,University of Queensland
Hyojin Bahng,Massachusetts Institute of Technology
SANGHYUK CHUN,"Associate Professor, University of Houston"
Sangdoo Yun,"Clova AI Research, NAVER Corp."
Jaegul Choo,"Associate Professor, Graduate School of Artificial Intelligence, KAIST"
Seong Joon Oh,NAVER Clova AI Research
Sankalp Garg,Indian Institute of Technology Delhi
Aniket Bajpai,"Visiting Student, MIT"
Mausam ,"Professor of Computer Science & Engineering, Indian Institute of Technology Delhi"
Inseop Chung,"Seoul National Univeristy, Graduate School of Convergence Science and Technology"
Kim Jangho,"Professor of Civil and Environmental Engineering, Yonsei University"
NOJUN KWAK,"Professor, Department of Intelligence and Information, Seoul National University"
Zhizhong Han,"University of Maryland, College Park, Department of Computer Science"
Chao Chen,chang gung
Yushen Liu,"Associate Vice President for Research, California State University, Fullerton"
Matthias Zwicker,"Professor of Computer Science, University of Maryland, College Park"
Peisong Wang,CASIA
Qiang Chen,Tsinghua University
Xiangyu He,长沙理工大学
Jian Cheng,University of North Carolina
Pan Zhou,"Associate Professor, Huazhong University and Science and Technology"
Xiao-Tong Yuan,Nanjing University of Information Science and Technology
Alexey Drutsa,"Yandex, Lomonosov Moscow State University"
Chi Jin,"Assistant Professor, Princeton University"
Michael Jordan,"Professor of EECS and Professor of Statistics, University of California, Berkeley"
Kai Han,University of Michigan
Yunhe Wang,"Principal Researcher, Huawei Noah's Ark Lab"
Yixing Xu,Intellectual Ventures; Texas A&M University
Chang Xu,河南理工大学土木工程学院
GEOFFREY Negiar,"PhD student, UC Berkeley"
Gideon Dresdner,ETH Zürich
Laurent El Ghaoui,"UC Berkeley (EECS, IEOR)"
Francesco Locatello,"PhD student, ETH Zürich, Max Planck Institute for Intelligent Systems"
Fabian Pedregosa,Google
Jiashi Feng,National University of Singapore
Damien Scieur,Samsung - SAIL Montréal
Jiaxuan You,"CS PhD candidate, Stanford University"
Kaiming He,"Research Scientist, Facebook AI Research (FAIR)"
Jure Leskovec,"Professor of Computer Science, Stanford University"
Saining Xie,"Research Scientist, Facebook AI Research (FAIR)"
Jeremias Knoblauch,"Doctoral Researcher, Oxford-Warwick Stats Programme, University of Warwick & Alan …"
Hisham Husain,Full professor of general and pediatric surgery
Tom Diethe,Amazon; University of Bristol
Shengpu Tang,"University of Michigan, Ann Arbor"
Aditya Modi,"PhD Student, University of Michigan"
Michael Sjoding,University of Michigan
Jenna Wiens,University of Michigan
Ying Jin,"Ying Wu College of Computing, NJIT"
Zhaoran Wang,Assistant Professor at Northwestern University
Junwei Lu,"Professor of Engineering, Griffith University"
Huan Xiong,Sichuan University
Lei Huang,Tsinghua University
Mengyang Yu,Inception Institute of Artificial Intelligence
Li Liu,"Professor of Social Psychology, Beijing Normal University"
Fan Zhu,National Cheng Kung University
Ling Shao,"CEO & Chief Scientist, Inception Institute of Artificial Intelligence (IIAI); EVP & Provost …"
Zhen Wang,"Ruhr-Universität Bochum, UCAS"
Liu Liu,Indiana University
Dacheng Tao,The University of Sydney
Jiawei Huang,University of Virginia
Nan Jiang,Brigham and Women's Hospital
Xiaobo Wang,"Writing Center Director, Emory University, Oxford College"
Shuo Wang,"Graduate student, Shanghai Normal University"
Shifeng Zhang,beijing forestry university
