Paper Title,Authors,ID
Reverse-engineering deep ReLU networks,"David Rolnick, Konrad Kording",5765
My Fair Bandit: Distributed Learning of Max-Min Fairness with Multi-player Bandits,"Ilai Bistritz, Tavor Z Baharav, Amir Leshem, Nicholas Bambos",5766
Scalable Differentiable Physics for Learning and Control,"Yi-Ling Qiao, Junbang Liang, Vladlen Koltun, Ming Lin",5767
Generalization to New Actions in Reinforcement Learning,"Ayush Jain, Andrew Szot, Joseph Lim",5768
Randomized Block-Diagonal Preconditioning for Parallel Learning,"Celestine Mendler-Dünner, Aurelien Lucchi",5769
Stochastic Flows and Geometric Optimization on the Orthogonal Group,"Krzysztof Choromanski, David Cheikhi, Jared Q Davis, Valerii Likhosherstov, Achille Nazaret, Achraf Bahamou, Xingyou Song, Mrugank Akarte, Jack Parker-Holder, Jacob Bergquist, YUAN GAO, Aldo Pacchiano, Tamas Sarlos, Adrian Weller, Vikas Sindhwani",5770
PackIt: A Virtual Environment for Geometric Planning,"Ankit Goyal, Jia Deng",5771
Soft Threshold Weight Reparameterization for Learnable Sparsity,"Aditya Kusupati, Vivek Ramanujan, Raghav Somani, Mitchell Wortsman, Prateek Jain, Sham Kakade, Ali Farhadi",5772
Stochastic Latent Residual Video Prediction,"Jean-Yves Franceschi, Edouard Delasalles, Mickael Chen, Sylvain Lamprier, Patrick Gallinari",5773
Fractional Underdamped Langevin Dynamics: Retargeting SGD with Momentum under Heavy-Tailed Gradient Noise,"Umut Simsekli, Lingjiong Zhu, Yee Whye Teh, Mert Gurbuzbalaban",5774
Context Aware Local Differential Privacy,"Jayadev Acharya, Kallista Bonawitz, Peter Kairouz, Daniel  Ramage, Ziteng Sun",5775
Privately Learning Markov Random Fields,"Gautam Kamath, Janardhan Kulkarni, Steven Wu, Huanyu Zhang",5776
A Mean Field Analysis Of Deep ResNet And Beyond: Towards  Provably Optimization Via Overparameterization From Depth,"Yiping Lu, Chao Ma, Yulong Lu, Jianfeng Lu, Lexing Ying",5777
Provable Smoothness Guarantees for Black-Box Variational Inference,Justin Domke,5778
Enhancing Simple Models by Exploiting What They Already Know,"Amit Dhurandhar, Karthikeyan Shanmugam, Ronny Luss",5779
Fiduciary Bandits,"Gal Bahar, Omer Ben-Porat, Kevin Leyton-Brown, Moshe Tennenholtz",5780
